Regions_NR;Region_navn_postDK;KOMMUNE_NR;Kommune_navn_postDK;POSTNR;BYNAVN;Type of Area;Type of Area (specific);kommune_CVR;mapDK_kommune;Region_nr;Region;Landsdel_nr;Landsdel;Kommune 2007 og frem;Kommunenavn;Kommune_sammenlægning
1081;Region Nordjylland;773;Morsø Kommune;7900;Nykøbing M;Rural;Tiny provincial city (3-10,000 inhabitants);MORSØ;morsoe;1082;Midtjylland;9;Østjylland;773;Morsø;NA
1081;Region Nordjylland;773;Morsø Kommune;7950;Erslev;Rural;Rural (less than 3,000 inhabitants;MORSØ;morsoe;1082;Midtjylland;9;Østjylland;773;Morsø;NA
1081;Region Nordjylland;773;Morsø Kommune;7960;Karby;Rural;Rural (less than 3,000 inhabitants;MORSØ;morsoe;1082;Midtjylland;9;Østjylland;773;Morsø;NA
1081;Region Nordjylland;773;Morsø Kommune;7970;Redsted M;Rural;Rural (less than 3,000 inhabitants;MORSØ;morsoe;1082;Midtjylland;9;Østjylland;773;Morsø;NA
1081;Region Nordjylland;773;Morsø Kommune;7980;Vils;Rural;Rural (less than 3,000 inhabitants;MORSØ;morsoe;1082;Midtjylland;9;Østjylland;773;Morsø;NA
1081;Region Nordjylland;773;Morsø Kommune;7990;Øster Assels;Rural;Rural (less than 3,000 inhabitants;MORSØ;morsoe;1082;Midtjylland;9;Østjylland;773;Morsø;NA
1081;Region Nordjylland;787;Thisted Kommune;7700;Thisted;Minor provincial cities (10-100,000 inhabitants);Minor Provincial city (10-25,000 inhabitants);THISTED;thisted;1082;Midtjylland;9;Østjylland;787;Thisted;765 Hanstholm, 785 Sydthy, 787 Thisted
1081;Region Nordjylland;787;Thisted Kommune;7730;Hanstholm;Rural;Tiny provincial city (3-10,000 inhabitants);THISTED;thisted;1082;Midtjylland;9;Østjylland;787;Thisted;765 Hanstholm, 785 Sydthy, 787 Thisted
1081;Region Nordjylland;787;Thisted Kommune;7741;Frøstrup;Rural;Rural (less than 3,000 inhabitants;THISTED;thisted;1082;Midtjylland;9;Østjylland;787;Thisted;765 Hanstholm, 785 Sydthy, 787 Thisted
1081;Region Nordjylland;787;Thisted Kommune;7742;Vesløs;Rural;Rural (less than 3,000 inhabitants;THISTED;thisted;1082;Midtjylland;9;Østjylland;787;Thisted;765 Hanstholm, 785 Sydthy, 787 Thisted
1081;Region Nordjylland;787;Thisted Kommune;7752;Snedsted;Rural;Rural (less than 3,000 inhabitants;THISTED;thisted;1082;Midtjylland;9;Østjylland;787;Thisted;765 Hanstholm, 785 Sydthy, 787 Thisted
1081;Region Nordjylland;787;Thisted Kommune;7755;Bedsted Thy;Rural;Rural (less than 3,000 inhabitants;THISTED;thisted;1082;Midtjylland;9;Østjylland;787;Thisted;765 Hanstholm, 785 Sydthy, 787 Thisted
1081;Region Nordjylland;787;Thisted Kommune;7760;Hurup Thy;Rural;Rural (less than 3,000 inhabitants;THISTED;thisted;1082;Midtjylland;9;Østjylland;787;Thisted;765 Hanstholm, 785 Sydthy, 787 Thisted
1081;Region Nordjylland;787;Thisted Kommune;7770;Vestervig;Rural;Rural (less than 3,000 inhabitants;THISTED;thisted;1082;Midtjylland;9;Østjylland;787;Thisted;765 Hanstholm, 785 Sydthy, 787 Thisted
1081;Region Nordjylland;810;Brønderslev Kommune;9320;Hjallerup;Rural;Tiny provincial city (3-10,000 inhabitants);BRØNDERSLEV-DRONNINGLUND;broenderslev;1081;Nordjylland;11;Nordjylland;810;Brønderslev;805 Brønderslev, 807 Dronninglund
1081;Region Nordjylland;810;Brønderslev Kommune;9330;Dronninglund;Rural;Tiny provincial city (3-10,000 inhabitants);BRØNDERSLEV-DRONNINGLUND;broenderslev;1081;Nordjylland;11;Nordjylland;810;Brønderslev;805 Brønderslev, 807 Dronninglund
1081;Region Nordjylland;810;Brønderslev Kommune;9340;Asaa;Rural;Rural (less than 3,000 inhabitants;BRØNDERSLEV-DRONNINGLUND;broenderslev;1081;Nordjylland;11;Nordjylland;810;Brønderslev;805 Brønderslev, 807 Dronninglund
1081;Region Nordjylland;810;Brønderslev Kommune;9352;Dybvad;Rural;Rural (less than 3,000 inhabitants;BRØNDERSLEV-DRONNINGLUND;broenderslev;1081;Nordjylland;11;Nordjylland;810;Brønderslev;805 Brønderslev, 807 Dronninglund
1081;Region Nordjylland;810;Brønderslev Kommune;9370;Hals;Rural;Rural (less than 3,000 inhabitants;BRØNDERSLEV-DRONNINGLUND;broenderslev;1081;Nordjylland;11;Nordjylland;810;Brønderslev;805 Brønderslev, 807 Dronninglund
1081;Region Nordjylland;810;Brønderslev Kommune;9382;Tylstrup;Rural;Rural (less than 3,000 inhabitants;BRØNDERSLEV-DRONNINGLUND;broenderslev;1081;Nordjylland;11;Nordjylland;810;Brønderslev;805 Brønderslev, 807 Dronninglund
1081;Region Nordjylland;810;Brønderslev Kommune;9440;Aabybro;Rural;Tiny provincial city (3-10,000 inhabitants);BRØNDERSLEV-DRONNINGLUND;broenderslev;1081;Nordjylland;11;Nordjylland;810;Brønderslev;805 Brønderslev, 807 Dronninglund
1081;Region Nordjylland;810;Brønderslev Kommune;9480;Løkken;Rural;Rural (less than 3,000 inhabitants;BRØNDERSLEV-DRONNINGLUND;broenderslev;1081;Nordjylland;11;Nordjylland;810;Brønderslev;805 Brønderslev, 807 Dronninglund
1081;Region Nordjylland;810;Brønderslev Kommune;9700;Brønderslev;Minor provincial cities (10-100,000 inhabitants);Minor Provincial city (10-25,000 inhabitants);BRØNDERSLEV-DRONNINGLUND;broenderslev;1081;Nordjylland;11;Nordjylland;810;Brønderslev;805 Brønderslev, 807 Dronninglund
1081;Region Nordjylland;810;Brønderslev Kommune;9740;Jerslev J;Rural;Rural (less than 3,000 inhabitants;BRØNDERSLEV-DRONNINGLUND;broenderslev;1081;Nordjylland;11;Nordjylland;810;Brønderslev;805 Brønderslev, 807 Dronninglund
1081;Region Nordjylland;810;Brønderslev Kommune;9750;Østervrå;Rural;Rural (less than 3,000 inhabitants;BRØNDERSLEV-DRONNINGLUND;broenderslev;1081;Nordjylland;11;Nordjylland;810;Brønderslev;805 Brønderslev, 807 Dronninglund
1081;Region Nordjylland;810;Brønderslev Kommune;9760;Vrå;Rural;Rural (less than 3,000 inhabitants;BRØNDERSLEV-DRONNINGLUND;broenderslev;1081;Nordjylland;11;Nordjylland;810;Brønderslev;805 Brønderslev, 807 Dronninglund
1081;Region Nordjylland;813;Frederikshavn Kommune;9300;Sæby;Rural;Tiny provincial city (3-10,000 inhabitants);FREDERIKSHAVN;frederikshavn;1081;Nordjylland;11;Nordjylland;813;Frederikshavn;813 Frederikshavn, 841 Skagen, 847 Sæby
1081;Region Nordjylland;813;Frederikshavn Kommune;9330;Dronninglund;Rural;Tiny provincial city (3-10,000 inhabitants);FREDERIKSHAVN;frederikshavn;1081;Nordjylland;11;Nordjylland;813;Frederikshavn;813 Frederikshavn, 841 Skagen, 847 Sæby
1081;Region Nordjylland;813;Frederikshavn Kommune;9340;Asaa;Rural;Rural (less than 3,000 inhabitants;FREDERIKSHAVN;frederikshavn;1081;Nordjylland;11;Nordjylland;813;Frederikshavn;813 Frederikshavn, 841 Skagen, 847 Sæby
1081;Region Nordjylland;813;Frederikshavn Kommune;9352;Dybvad;Rural;Rural (less than 3,000 inhabitants;FREDERIKSHAVN;frederikshavn;1081;Nordjylland;11;Nordjylland;813;Frederikshavn;813 Frederikshavn, 841 Skagen, 847 Sæby
1081;Region Nordjylland;813;Frederikshavn Kommune;9750;Østervrå;Rural;Rural (less than 3,000 inhabitants;FREDERIKSHAVN;frederikshavn;1081;Nordjylland;11;Nordjylland;813;Frederikshavn;813 Frederikshavn, 841 Skagen, 847 Sæby
1081;Region Nordjylland;813;Frederikshavn Kommune;9830;Tårs;Rural;Rural (less than 3,000 inhabitants;FREDERIKSHAVN;frederikshavn;1081;Nordjylland;11;Nordjylland;813;Frederikshavn;813 Frederikshavn, 841 Skagen, 847 Sæby
1081;Region Nordjylland;813;Frederikshavn Kommune;9870;Sindal;Rural;Tiny provincial city (3-10,000 inhabitants);FREDERIKSHAVN;frederikshavn;1081;Nordjylland;11;Nordjylland;813;Frederikshavn;813 Frederikshavn, 841 Skagen, 847 Sæby
1081;Region Nordjylland;813;Frederikshavn Kommune;9881;Bindslev;Rural;Rural (less than 3,000 inhabitants;FREDERIKSHAVN;frederikshavn;1081;Nordjylland;11;Nordjylland;813;Frederikshavn;813 Frederikshavn, 841 Skagen, 847 Sæby
1081;Region Nordjylland;813;Frederikshavn Kommune;9900;Frederikshavn;Minor provincial cities (10-100,000 inhabitants);Minor Provincial city (10-25,000 inhabitants);FREDERIKSHAVN;frederikshavn;1081;Nordjylland;11;Nordjylland;813;Frederikshavn;813 Frederikshavn, 841 Skagen, 847 Sæby
1081;Region Nordjylland;813;Frederikshavn Kommune;9970;Strandby;Rural;Rural (less than 3,000 inhabitants;FREDERIKSHAVN;frederikshavn;1081;Nordjylland;11;Nordjylland;813;Frederikshavn;813 Frederikshavn, 841 Skagen, 847 Sæby
1081;Region Nordjylland;813;Frederikshavn Kommune;9981;Jerup;Rural;Rural (less than 3,000 inhabitants;FREDERIKSHAVN;frederikshavn;1081;Nordjylland;11;Nordjylland;813;Frederikshavn;813 Frederikshavn, 841 Skagen, 847 Sæby
1081;Region Nordjylland;813;Frederikshavn Kommune;9982;Ålbæk;Rural;Rural (less than 3,000 inhabitants;FREDERIKSHAVN;frederikshavn;1081;Nordjylland;11;Nordjylland;813;Frederikshavn;813 Frederikshavn, 841 Skagen, 847 Sæby
1081;Region Nordjylland;813;Frederikshavn Kommune;9990;Skagen;Rural;Tiny provincial city (3-10,000 inhabitants);FREDERIKSHAVN;frederikshavn;1081;Nordjylland;11;Nordjylland;813;Frederikshavn;813 Frederikshavn, 841 Skagen, 847 Sæby
1081;Region Nordjylland;820;Vesthimmerlands Kommune;9240;Nibe;Rural;Tiny provincial city (3-10,000 inhabitants);VESTHIMMERLANDS;vesthimmerlands;1081;Nordjylland;11;Nordjylland;820;Vesthimmerlands;793 Aalestrup (del af), 809 Farsø, 827 Løgstør, 861 Aars
1081;Region Nordjylland;820;Vesthimmerlands Kommune;9541;Suldrup;Rural;Rural (less than 3,000 inhabitants;VESTHIMMERLANDS;vesthimmerlands;1081;Nordjylland;11;Nordjylland;820;Vesthimmerlands;793 Aalestrup (del af), 809 Farsø, 827 Løgstør, 861 Aars
1081;Region Nordjylland;820;Vesthimmerlands Kommune;9600;Aars;Rural;Tiny provincial city (3-10,000 inhabitants);VESTHIMMERLANDS;vesthimmerlands;1081;Nordjylland;11;Nordjylland;820;Vesthimmerlands;793 Aalestrup (del af), 809 Farsø, 827 Løgstør, 861 Aars
1081;Region Nordjylland;820;Vesthimmerlands Kommune;9610;Nørager;Rural;Rural (less than 3,000 inhabitants;VESTHIMMERLANDS;vesthimmerlands;1081;Nordjylland;11;Nordjylland;820;Vesthimmerlands;793 Aalestrup (del af), 809 Farsø, 827 Løgstør, 861 Aars
1081;Region Nordjylland;820;Vesthimmerlands Kommune;9620;Aalestrup;Rural;Rural (less than 3,000 inhabitants;VESTHIMMERLANDS;vesthimmerlands;1081;Nordjylland;11;Nordjylland;820;Vesthimmerlands;793 Aalestrup (del af), 809 Farsø, 827 Løgstør, 861 Aars
1081;Region Nordjylland;820;Vesthimmerlands Kommune;9631;Gedsted;Rural;Rural (less than 3,000 inhabitants;VESTHIMMERLANDS;vesthimmerlands;1081;Nordjylland;11;Nordjylland;820;Vesthimmerlands;793 Aalestrup (del af), 809 Farsø, 827 Løgstør, 861 Aars
1081;Region Nordjylland;820;Vesthimmerlands Kommune;9640;Farsø;Rural;Tiny provincial city (3-10,000 inhabitants);VESTHIMMERLANDS;vesthimmerlands;1081;Nordjylland;11;Nordjylland;820;Vesthimmerlands;793 Aalestrup (del af), 809 Farsø, 827 Løgstør, 861 Aars
1081;Region Nordjylland;820;Vesthimmerlands Kommune;9670;Løgstør;Rural;Tiny provincial city (3-10,000 inhabitants);VESTHIMMERLANDS;vesthimmerlands;1081;Nordjylland;11;Nordjylland;820;Vesthimmerlands;793 Aalestrup (del af), 809 Farsø, 827 Løgstør, 861 Aars
1081;Region Nordjylland;820;Vesthimmerlands Kommune;9681;Ranum;Rural;Rural (less than 3,000 inhabitants;VESTHIMMERLANDS;vesthimmerlands;1081;Nordjylland;11;Nordjylland;820;Vesthimmerlands;793 Aalestrup (del af), 809 Farsø, 827 Løgstør, 861 Aars
1081;Region Nordjylland;825;Læsø Kommune;9940;Læsø;Rural;Rural (less than 3,000 inhabitants;LÆSØ;laesoe;1081;Nordjylland;11;Nordjylland;825;Læsø;NA
1081;Region Nordjylland;840;Rebild Kommune;9230;Svenstrup J;Rural;Tiny provincial city (3-10,000 inhabitants);REBILD;rebild;1081;Nordjylland;11;Nordjylland;840;Rebild;833 Nørager (del af), 843 Skørping, 845 Støvring
1081;Region Nordjylland;840;Rebild Kommune;9240;Nibe;Rural;Tiny provincial city (3-10,000 inhabitants);REBILD;rebild;1081;Nordjylland;11;Nordjylland;840;Rebild;833 Nørager (del af), 843 Skørping, 845 Støvring
1081;Region Nordjylland;840;Rebild Kommune;9260;Gistrup;Rural;Tiny provincial city (3-10,000 inhabitants);REBILD;rebild;1081;Nordjylland;11;Nordjylland;840;Rebild;833 Nørager (del af), 843 Skørping, 845 Støvring
1081;Region Nordjylland;840;Rebild Kommune;9293;Kongerslev;Rural;Rural (less than 3,000 inhabitants;REBILD;rebild;1081;Nordjylland;11;Nordjylland;840;Rebild;833 Nørager (del af), 843 Skørping, 845 Støvring
1081;Region Nordjylland;840;Rebild Kommune;9500;Hobro;Minor provincial cities (10-100,000 inhabitants);Minor Provincial city (10-25,000 inhabitants);REBILD;rebild;1081;Nordjylland;11;Nordjylland;840;Rebild;833 Nørager (del af), 843 Skørping, 845 Støvring
